Date,Valeur,Ticker,Achat/Vente,Prix,Quantite
04/01/2023,Apple,AAPL,Achat,126.89,35
04/01/2023,Alphabet,GOOG,Achat,88.07,25
05/01/2023,Broadcom,AVGO,Achat,53.66,30
06/01/2023,Nvidia,NVDA,Achat,18.91,25
06/01/2023,General motors,GM,Achat,35.19,40
13/01/2023,Exxon Mobil,XOM,Achat,113.15,30
13/01/2023,Microsoft,MSFT,Achat,240.22,30
16/01/2023,Walmart,WMT,Achat,47.77,50
18/01/2023,Kellog's,K,Achat,58.8,28
20/01/2023,Tesla,TSLA,Achat,141.91,15
20/01/2023,Procter&Gamble,PG,Achat,142.97,30
25/01/2023,Chevron,CVX,Achat,176.56,30
25/01/2023,Johnson&Johnson,JNJ,Achat,168.23,50
27/01/2023,Visa,V,Achat,196.32,10
27/01/2023,Mastercard,MA,Achat,349.66,2
09/02/2023,Exxon Mobil,XOM,Vente,108.04,10
15/02/2023,Microsoft,MSFT,Vente,309.87,10
21/02/2023,Oracle,ORCL,Achat,84,70
29/03/2023,Visa,V,Vente,204.8,5
06/04/2023,Eli lilly,LLY,Achat,368.29,2
14/04/2023,Alphabet,GOOG,Vente,109.46,20
28/04/2023,Netlfix,NFLX,Achat,329.93,5
19/05/2023,Apple,AAPL,Vente,175.16,15
26/05/2023,Kellog's,K,Achat,63.5,10
09/06/2023,Procter&Gamble,PG,Vente,146.56,15
16/06/2023,Salesforce,CRM,Achat,211.79,15
28/07/2023,Johnson&Johnson,JNJ,Vente,174.48,15
04/08/2023,AMD,AMD,Achat,115.83,20
25/08/2023,Microsoft,MSFT,Vente,322.98,10
08/09/2023,AT&T,T,Achat,14.4,100
26/11/2023,Apple,AAPL,Vente,186.4,5
08/12/2023,Mc donalds,MCD,Achat,285.53,10
05/01/2024,Chevron,CVX,Vente,150.4,10
19/01/2024,Boeing,BA,Achat,215.02,5
23/02/2024,Tesla,TSLA,Vente,191.97,5
23/02/2024,Broadcom,AVGO,Vente,129.62,5
15/03/2024,Mastercard,MA,Achat,475.83,3
26/04/2024,Walmart,WMT,Vente,60.16,25
10/05/2024,Salesforce,CRM,Vente,276.67,8
17/05/2024,Meta,META,Achat,471.91,5
07/06/2024,Boieng,BA,Achat,190.24,10
19/07/2024,Microsoft,MSFT,Vente,437.11,10
26/07/2024,AT&T,T,Achat,19.01,150
09/08/2024,Mc donalds,MCD,Achat,267.91,5
25/10/2024,AMD,AMD,Vente,156.23,10
15/11/2024,Eli lilly,LLY,Achat,746.2,2
13/12/2024,Walmart,WMT,Vente,94.25,10
